STAFF,Profit Center,Employee Position,Employee Location,People Group,Employee Category,Current Status,Total Hours,Total Available Hours,Total Work Hours,Total Leave Hours,Total Training Hours,Total BD Hours,Total NC Hours,Total Utilization%,No.of Working Years
1,PC - 1,Level A1,Location 3,Client Service Staff,others,0,2088,1802.0,636.0,216.0,70.0,1192.0,56.0,0.35294117647058826,17.497963681663553
1,PC - 2,Level A1,Location 7,Client Service Staff,others,0,2088,1882.0,555.5,156.0,50.0,694.0,734.0,0.29516471838469716,18.834062301073946
1,PC - 2,Level A1,Location 7,Client Service Staff,others,0,2088,1898.5,1004.5,144.0,45.5,507.0,549.5,0.5291019225704503,17.161201119803966
1,PC - 3,Level A1,Location 1,Client Service Staff,others,0,2088,1851.0,273.0,208.0,29.0,1382.0,255.0,0.14748784440842788,17.497963681663553
1,PC - 4,Level A1,Location 3,Client Service Staff,others,0,1312,1205.0,149.0,104.0,3.0,1159.0,818.0,0.12365145228215768,19.751261148415093
1,PC - 1,Level A1,Location 3,Client Service Staff,others,0,2088,1823.0,471.0,260.0,5.0,1420.0,261.0,0.25836533187054306,15.751179011204885
1,PC - 1,Level A1,Location 3,Client Service Staff,Confirmed Staff,0,2088,1736.0,355.0,270.0,82.0,1052.0,383.0,0.20449308755760368,13.664893871879642
1,PC - 3,Level A1,Location 1,Client Service Staff,Resigned,1,1744,1528.0,97.0,216.0,0.0,1264.0,192.0,0.06348167539267016,12.504021300916515
1,PC - 2,Level A1,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1790.0,488.0,298.0,10.0,1036.0,276.0,0.27262569832402234,13.497881544453342
1,PC - 4,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,1860.0,289.0,220.0,8.0,1251.0,322.0,0.1553763440860215,13.413006427236699
1,PC - 3,Level A1,Location 1,Client Service Staff,Resigned,1,1616,1528.0,720.0,88.0,0.0,0.0,888.0,0.4712041884816754,12.169996646063916
1,PC - 3,Level A1,Location 1,Client Service Staff,others,0,2088,1898.0,1571.0,172.0,18.0,386.0,190.0,0.827713382507903,13.330869217027043
1,PC - 3,Level A1,Location 1,Client Service Staff,others,0,2088,1848.5,331.0,168.0,71.5,1175.0,875.5,0.17906410603191777,13.2459940998104
1,PC - 4,Level A1,Location 1,Client Service Staff,others,0,2088,1886.0,421.0,200.0,2.0,993.0,622.0,0.22322375397667021,13.084457586398077
1,PC - 3,Level A1,Other Loc,Client Service Staff,Resigned,1,872,766.0,36.0,104.0,2.0,0.0,746.0,0.04699738903394256,11.504685243365708
1,PC - 3,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,1899.5,958.0,176.0,12.5,1068.0,11.5,0.5043432482232166,12.331533159476239
1,PC - 1,Level A1,Location 3,Client Service Staff,Confirmed Staff,0,2088,1884.0,505.0,184.0,20.0,0.0,1391.0,0.2680467091295117,12.246658042259595
1,PC - 3,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,1875.0,141.0,176.0,37.0,256.0,1508.0,0.0752,12.161782925042951
1,PC - 3,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,1888.0,301.0,200.0,0.0,20.0,1647.0,0.1594279661016949,11.83323408420433
1,PC - 4,Level 6,Location 7,Client Service Staff,Confirmed Staff,0,2088,1868.0,2249.0,152.0,68.0,0.0,16.0,1.2039614561027838,11.751096873994674
1,PC - 1,Level A1,Location 3,Client Service Staff,Confirmed Staff,0,2088,2008.0,1232.0,80.0,0.0,767.0,34.0,0.6135458167330677,11.66622175677803
1,PC - 2,Level A1,Location 7,Client Service Staff,Confirmed Staff,0,2088,1888.0,1279.0,200.0,0.0,0.0,705.0,0.6774364406779662,11.332197101925432
1,PC - 1,Level A1,Location 3,Client Service Staff,Confirmed Staff,0,2088,1853.0,605.0,224.0,11.0,1256.0,8.0,0.3264975715056665,11.247321984708789
